id;Competición;Jornada;Partido;Árbitro;VAR;Minuto;Equipo afectado;Categoría;Subtipo;Pregunta;Decisión arbitral;Descripción;slug_imagen;slug_imagen2;slug_imagen3;slug_imagen4;slug_imagen5;slug_video;slug_video2;Respuesta si;Respuesta no;votos iniciales si;votos iniciales no;comentario1;comentario2;comentario3;comentario4;comentario5
13;LaLiga;24;Real Madrid - Real Sociedad;Hernández Maeso;Trujillo Suárez;23;Real Madrid;Penalti;pitado_favor;¿Es penalti sobre Vinicius?;Penalti señalado;Derribo claro dentro del área.;;;;;;5;;;;;;;;;;
14;LaLiga;24;Real Madrid - Real Sociedad;Hernández Maeso;Trujillo Suárez;46;Real Madrid;Penalti;pitado_favor;¿Segundo penalti correcto?;Penalti señalado;Nueva falta sobre Vinicius.;;;;;;6;;;;;;;;;;
16;LaLiga;25;Osasuna - Real Madrid;Quintero González;Figueroa Vázquez;34;Real Madrid;Penalti;pitado_contra;¿Era penalti de Courtois?;Penalti tras VAR;Pisotón revisado en VAR.;;;;;;1;;;;;;;;;;
17;LaLiga;26;Real Madrid - Getafe;Muñiz Ruiz;Pizarro Gómez;25;Real Madrid;Roja;no_sacada_equipo;¿Debió ser roja a Rüdiger?;Solo falta;Agresión con rodillazo en la cara.;;;;;;1;;;;;;;;;;
18;LaLiga;27;Celta - Real Madrid;Díaz de Mera;Pulido Santana;69;Real Madrid;Penalti;no_pitado_favor;¿Era mano dentro del área?;No señalado;Posible mano anulada por falta previa.;;;;;;1;;;;;;;;;;
19;LaLiga;27;Celta - Real Madrid;Díaz de Mera;Pulido Santana;89;Real Madrid;Gol;concedido_favor;¿Hubo falta previa en el gol?;Gol concedido;Posible falta en la recuperación previa.;;;;;;2;2a;;;;;;;;;
20;LaLiga;27;Athletic - Barcelona;Munuera Montero;Pizarro Gómez;57;Barcelona;Roja;no_sacada_equipo;¿Era roja para Cubarsí?;No expulsión;Derribo siendo último hombre.;;;;;;3;;;;;;;;;;
21;LaLiga;28;Barcelona - Sevilla;Martínez Munuera;Iglesias Villanueva;7;Barcelona;Penalti;pitado_favor;¿Es penalti claro?;Penalti señalado;Golpe dentro del área.;;;;;;1a;;;;;;;;;;
22;LaLiga;28;Barcelona - Sevilla;Martínez Munuera;Iglesias Villanueva;18;Barcelona;Penalti;pitado_favor;¿Hay mano sancionable?;Penalti señalado;Mano tras recorte en área.;;;;;;1;;;;;;;;;;
23;LaLiga;29;Rayo Vallecano - Barcelona;Adrián Cordero Vega;Raúl Martín González;35;Barcelona;Penalti;no_pitado_contra;¿Era penalti de Fermín?;Penalti no señalado;Posible penalti de Fermín;;;;;;1;;No. No es penalti.;Si. Era penalti.;;;;;;;
24;LaLiga;29;Real Madrid - Atlético de Madrid;José Luis Munuera;Daniel Jesús Trujillo;8;Real Madrid;Penalti;no_pitado_contra;¿Era penalti de Carvajal a Llorente?;Penalti no señalado;Posible penalti de Carvajal tras golpear Llorente el balón.;;;;;;2;;No. No es penalti.;Si. Era penalti.;;;;;;;
25;LaLiga;29;Real Madrid - Atlético de Madrid;José Luis Munuera;Daniel Jesús Trujillo;77;Real Madrid;Roja;sacada_equipo;¿Es correcta la expulsión de Valverde?;Expulsión a Valverde;Roja a Valverde tras entrada a Baena;;;;;;3;;Si. Es roja.;No. Vale con amarilla.;;;;;;;
